title,link,date,content,is_fake
"viral pencurian di peternakan bogor, ayam-ayam dikarungin",https://news.detik.com/berita/d-7662915/viral-pencurian-di-peternakan-bogor-ayam-ayam-dikarungin,29/11/2024,"Video aksi pencurian sejumlah ayam terekam CCTV dan viral di media sosial. Peristiwa itu terjadi di wilayah Pabuaran, Kecamatan Cibinong, Bogor, Jawa Barat. Dalam video yang dilihat detikcom, Jumat (29/11/2024), peristiwa disebut terjadi pada Kamis (28/11) kemarin. Pencurian terjadi di sebuah peternakan ayam. Dalam video tersebut, pelaku membawa sebuah karung. Dia kemudian memasukkan sejumlah ayam dari peternakan tersebut ke karung yang dibawanya. 
ADVERTISEMENT
 
SCROLL TO CONTINUE WITH CONTENT
 Dikonfirmasi, Kanit Reskrim Polsek Cibinong AKP Yunli Pangestu mengatakan, pihaknya belum menerima laporan perihal kejadian pencurian tersebut. ""Belum ada laporan (kejadiannya),"" kata Yunli. Meski demikian, pihaknya tetap akan melakukan penyelidikan terhadap aksi pencurian ayam tersebut. ""Iya (akan diselidiki anggota),"" pungkasnya. ",0
daftar tanggal rekomendasi cuti libur panjang nataru 2024/2025,https://news.detik.com/berita/d-7662910/daftar-tanggal-rekomendasi-cuti-libur-panjang-nataru-2024-2025,29/11/2024,"Pemerintah telah menetapkan tanggal merah untuk hari libur nasional dan cuti bersama dalam rangka Natal 2024 dan Tahun Baru 2025 (Nataru 2024/2025). Sebagaimana diatur dalam SKB 3 Menteri tentang Hari Libur Nasional dan Cuti Bersama terbaru. Sebagai informasi, tanggal merah libur Nataru 2024/2025 ini berdekatan dengan libur akhir pekan (weekend). Selain itu ada juga tanggal-tanggal lainnya yang bisa dijadikan sebagai rekomendasi cuti. Hal ini untuk menambah masa liburan Nataru lebih panjang (long weekend). Berikut ini informasi daftar tanggal merah libur Nataru 2024/2025 beserta daftar tanggal untuk rekomendasi cutinya: 
ADVERTISEMENT
 
SCROLL TO CONTINUE WITH CONTENT
 Untuk diketahui, pegawai negeri dan pegawai swasta memiliki aturan cuti tahunan yang berbeda. Berikut informasinya.",0
"info cuti bersama bulan desember 2024, cek untuk libur akhir tahun!",https://news.detik.com/berita/d-7662904/info-cuti-bersama-bulan-desember-2024-cek-untuk-libur-akhir-tahun,29/11/2024,"Surat keputusan bersama (SKB) 3 Menteri menyebutkan masih ada libur nasional dan cuti bersama hingga akhir tahun 2024, tepatnya di bulan Desember 2024. Tanggal merah Desember 2024 dipakai untuk memperingati Natal. Berikut tanggal cuti bersama di bulan Desember 2024. Dikutip dari SKB 3 Menteri, cuti bersama di bulan Desember 2024 merupakan cuti bersama peringatan Natal dan hanya berlangsung satu hari, yaitu Kamis, 26 Desember 2024. Itu sehari setelah libur nasional Natal pada Rabu, 25 Desember 2024. 
ADVERTISEMENT
 
SCROLL TO CONTINUE WITH CONTENT
 Jika masih memiliki jatah cuti tahunan, Anda bisa menggunakannya di tanggal 27 Desember 2024 agar masa liburan Natal 2024 lebih lama. Berikut rinciannya. Menurut situs Perpusnas, berikut daftar tanggal untuk memperingati berbagai momentum penting di bulan Desember 2024. Tidak hanya peringatan nasional, ada perayaan-perayaan internasional yang diperingati setiap bulan Desember 2024. Berikut daftarnya.",0
"287 tps akan gelar pemungutan suara susulan, lanjutan, dan ulang pilkada",https://news.detik.com/berita/d-7662897/287-tps-akan-gelar-pemungutan-suara-susulan-lanjutan-dan-ulang-pilkada,29/11/2024,"Komisi Pemilihan Umum (KPU) RI mencatat adanya sejumlah TPS yang melakukan pemungutan suara susulan (PSS), pemungutan suara lanjutan (PSL) dan pemungutan suara ulang (PSU). KPU menyampaikan total ada 287 yang akan menggelar PSS, PSL dan PSU. Berdasarkan data Jumat (29/11/2024), per pukul 10.00 WIB, Ketua KPU RI Mochammad Afifuddin mengatakan terdapat 231 TPS yang akan melaksanakan PSS, 10 TPS akan melakukan PSL dan 46 TPS akan melaksanakan PSU. ""Data daerah dan TPS yang melaksanakan PSS PSL dan PSU yang karena terdampak bencana berdasarkan data per jam 10 tadi, jumlah TPS yang PSS 231 TPS, PSL 10 TPS dan PSU 46 TPS,"" ujar Afif dalam konferensi pers. 
ADVERTISEMENT
 
SCROLL TO CONTINUE WITH CONTENT
 ""Tentu ini juga mungkin masih bisa berkembang seiring rekomendasi yang mungkin berjalan di Bawaslu dan kejadian di daerah,"" sambungnya. Sementara itu, untuk pemilih terdampak akibat PSL sebanyak 4.501. Kemudian pemilih terdampak PSS sebanyak 111.601 dan terdampak PSU sebanyak 16.184. ""Total pemilih terdampak sebanyak 132.286 "" ujarnya.",0
legislator pd dukung sayembara tangkap harun masiku: tantangan kpk gercep,https://news.detik.com/berita/d-7662894/legislator-pd-dukung-sayembara-tangkap-harun-masiku-tantangan-kpk-gercep,29/11/2024,"Anggota Komisi III DPR Fraksi Partai Demokrat, Hinca Pandjaitan, mengapresiasi sikap politikus Partai Gerindra, Maruarar Sirait atau Ara, yang membuka sayembara senilai Rp 8 miliar bagi siapa saja yang bisa menangkap buron kasus suap pergantian antarwaktu (PAW), Harun Masiku. Hinca berharap keputusan itu jadi pemantik pimpinan KPK yang baru untuk bergerak cepat (gercep). ""Ketika Pak Maruarar Sirait menyebutkan atau memberikan sayembara istilah teman-teman media itu, saya kira ini tantangan sekaligus peluang bagi pimpinan yang baru untuk segera gercep gitu ya, gerak cepat untuk melakukan tugasnya. Ini kan tugas dan kewajiban KPK,"" kata Hinca di kompleks parlemen, Senayan, Jakarta Pusat, Jumat (29/11/2024). Hinca mendukung sikap Menteri Perumahan dan Kawasan Permukiman itu. Politikus Partai Demokrat ini menilai persoalan Harun Masiku mengganggu semua pihak. 
ADVERTISEMENT
 
SCROLL TO CONTINUE WITH CONTENT
 ""Jadi saya dukung Bang Maruarar Sirait, saya dukung KPK untuk menuntaskan ini. Karena ini harapan masyarakat dan utang KPK untuk ke depan yang harus dibayar lunas. Saya dari Komisi III tentu punya harapan yang sama. Segeralah ini dituntaskan karena ini PR yang mengganggu kita semua,"" ucapnya. Hinca menyebut gerakan cepat pimpinan KPK sejalan dengan yang disampaikan oleh Komisi III DPR dalam agenda fit and proper test pimpinan dan anggota Dewas KPK beberapa waktu lalu. Menurutnya, hal itu menjadi pertaruhan nama baik KPK di publik. ""Ini penting karena baru juga selesai di Komisi III memilih 5 pimpinan KPK yang baru, yang dalam beberapa hari ke depan kita paripurnakan kemudian serahkan ke Presiden. Ditetapkan tanggal 20 Desember, rencananya itu harusnya sudah nahkoda baru, kecuali Pak Tanaknya, 4 baru,"" tutur Hinca. ""Jadi, apa yang disampaikan Maruarar Sirait, saya kira relevan dengan apa yang kami dapatkan atau kami sampaikan kepada 5 pimpinan KPK yang baru. Ini menjadi penting sekali dan pertaruhan penegakan hukum di kita terutama di KPK,"" tambahnya. Sayembara itu beredar viral di media sosial X, seperti dilihat detikcom, Kamis (28/11). Tampak dalam video itu, Maruarar Sirait awalnya menanti buku berjudul 'Politik Itu Suci' yang sempat dijanjikan akan diberikan oleh Sekjen PDIP Hasto Kristiyanto. Maruarar kemudian mengungkit soal kasus di Indonesia yang melibatkan orang-orang besar. Dia menyebut kasus Harun Masiku. ""Saya juga memang melihat ya itu akan saya gunakan energi misalnya untuk membantu dan menggerakkan jaringan saya untuk misalnya ada satu kasus besar yang saya lihat itu akan libatkan orang-orang besar di republik ini yang menyangkut Harun Masiku. Harun Masiku itu siapa sih kok bertahun-tahun nggak bisa ditangkap?"" ucap Maruarar seperti dalam video viral. Maruarar pun menjanjikan Rp 8 miliar bagi siapa pun yang bisa menangkap Harun Masiku. Maruarar mengaku heran lantaran Harun Masiku sampai saat ini masih jadi buron. ""Ya, saya akan kasih bonus bagi yang bisa tangkap Harun Masiku Rp 8 miliar uang pribadi saya, supaya semangat, supaya tidak ada di negara ini yang kebal hukum ya. Saya gunakan berkat dari Tuhan itu untuk memberantas korupsi di Indonesia. Yuk, Mas Hasto, kita cari Harun Masiku sama-sama ya, supaya jelas terang benderang ya,"" ujar dia. ""Kenapa sih Harun Masiku bisa menghilang? Siapa yang menghilangkan? Kasus apa yang di belakang dia? Apa yang dia urus? Gitu ya, Mas Hasto. Politik itu suci, membela yang benar, membantu yang lemah, dan membongkar kasus-kasus besar yang selama ini tertutup,"" sambungnya.",0
iib darmajaya buka suara usai viral fasilitas kampus dihina mahasiswi ubl,https://news.detik.com/berita/d-7662880/iib-darmajaya-buka-suara-usai-viral-fasilitas-kampus-dihina-mahasiswi-ubl,29/11/2024,"Kampus Institut Informatika dan Bisnis (IIB) Darmajaya buka suara usai viral fasilitas kampus dihina mahasiswi Universitas Bandar Lampung (UBL). Yayasan Alfian Husin, yang mengelola Kampus IIB Darmajaya, sangat menyayangkan perilaku dua mahasiswi UBL itu. ""Kalau saya melihatnya ini terlalu semangat ya, manusia kan tempat khilaf ya. Yang bersangkutan kan sudah datang ke kampus, sudah menyampaikan permohonan maaf. Kita juga sudah terima dengan baik,"" kata Sekretaris Yayasan Alfian Husin, Firmansyah Alfian, dilansir detikSumbagsel, Kamis (28/11/2024). Firman mengungkapkan pihak kampus mengingatkan para mahasiswa untuk tidak terpancing. Dia meminta mahasiswa IIB Darmajaya tak membalas hinaan mahasiswi UBL. 
ADVERTISEMENT
 
SCROLL TO CONTINUE WITH CONTENT
 ""Kita juga sudah sampaikan kepada anak-anak (mahasiswa) bahwa manusia itu tempat salah dan khilaf, jadi kita nggak usah membalas atas perlakuan yang kurang baik ke kita,"" ucapnya. Firman menyampaikan pihak Universitas Bandar Lampung juga telah datang ke kampus IIB Darmajaya atas video tersebut. Menurut dia, hubungan UBL dan Darmajaya setelah viralnya video tersebut akan tetap baik. ""Sudah, sudah datang, Wakil Rektor III UBL kemarin yang datang. Jadi diutus Pak Rektor untuk menyampaikan permohonan maaf atas perilaku dua mahasiswinya,"" jelas Firman. ""Alhamdulillah hubungan kami selama ini baik kok, kami juga tidak mau memperpanjang masalah ini. Jadi mahasiswi itu sudah kami serahkan dan biar nanti pihak UBL yang mendidik dan melakukan pembinaan. Namun saya berharap dua anak ini masih bisa lanjut kuliah di sana,"" sambungnya menutup. Baca selengkapnya di sini. ",0
"lestarikan warisan sunda, fadli zon resmikan museum kujang di bogor",https://news.detik.com/berita/d-7662877/lestarikan-warisan-sunda-fadli-zon-resmikan-museum-kujang-di-bogor,29/11/2024,"Menteri Kebudayaan Fadli Zon meresmikan Museum Kujang Pusaka di Kampung Budaya Sunda Paseban, Kabupaten Bogor, untuk melestarikan warisan budaya Sunda. Museum ini memamerkan koleksi kujang dari abad ke-9 dan menjadi pusat kajian budaya yang mengintegrasikan pelestarian tradisi dengan nilai-nilai keberlanjutan. Fadli Zon menggandeng para seniman kebudayaan Sunda untuk melestarikan salah satu warisan budaya Tanah Pajajaran yakni Kujang. Ia juga berkeliling daerah untuk merangkul insan-insan kebudayaan mewujudkan misi Indonesia menjadi pusat kebudayaan dunia. Di Kampung Budaya Sunda Paseban terdapat Kujang Kanjeng Kiai Bhairawa, sebuah kujang raksasa seberat 1,5 ton yang menjadi monumen budaya Sunda. Kujang ini dibuat dengan teknik tradisional oleh pengrajin keris dari Madura dan memakan waktu sekitar dua tahun untuk menyelesaikannya. 
ADVERTISEMENT
 
SCROLL TO CONTINUE WITH CONTENT
 Fadli mengatakan saat meresmikan Museum Kujang Pusaka, Kampung Budaya Sunda Paseban, Kabupaten Bogor (27/11), Kujang tertua berasal dari abad kesembilan dan telah dilakukan studi mengenai formasi dan deformasinya sejak periode awal. ""Dan varian-varian kujang dari berbagai kesultanan di Jawa, khususnya Jawa Barat kemudian dikumpulkan menjadi sebuah koleksi di Gedung Pusaka yang sekarang kita mau resmikan sebagai Museum Kujang,"" ujar Fadli dalam keterangan tertulis, Jumat (29/11/2024). Peresmian Museum Kujang di Paseban bertepatan dengan Hari Bambu Nasional pada 26 November. Acara ini juga termasuk penanaman 100 pohon bambu bersama Yayasan Bambu Indonesia di bawah bimbingan Ki Jatnika Nanggamiharja.    Museum ini memamerkan berbagai kujang dari berbagai periode sejarah, termasuk yang tertua dari abad ke-9. Museum Kujang Pusaka atau Gedong Kusaka diharapkan menjadi pusat kajian budaya, memperkenalkan kujang sebagai senjata tradisional dan simbol identitas masyarakat Sunda. Wakil Ketua DPR RI periode 2014-2019 ini berharap Museum Kujang ini menjadi rintisan dan ke depannya akan dibangun museum yang lebih mudah diakses, kemungkinan di Kabupaten Bogor, agar masyarakat bisa lebih mudah mengunjunginya. Koleksi kujang di museum ini dikurasi oleh Basuki Teguh Yuwono. Kampung Budaya Sunda Paseban Museum Kujang Pusaka terletak di Kampung Budaya Sunda, Paseban, Kabupaten Bogor. Kampung Budaya Paseban menjadi contoh inspiratif dalam pelestarian dan pengembangan kebudayaan Sunda di era modern. Tempat ini merupakan proyek kebudayaan berkelanjutan yang melestarikan tradisi dan mengintegrasikan nilai-nilai lingkungan hidup. Fadli Zon menjelaskan Kampung Paseban dulunya adalah hamparan alang-alang yang kini telah menjadi kawasan ekosistem budaya Sunda. Dengan penanaman 41 varietas bambu dan tanaman langka seperti pohon baobab, pohon bodhi, pohon pule, serta tanaman lokal seperti kemuning dan serigading, kawasan ini berfungsi sebagai tempat pelestarian budaya dan penghijauan yang signifikan. Menurut data Kementerian Lingkungan Hidup dan Kehutanan (KLHK), bambu dapat menyerap karbon hingga 1,7 ton per hektare per tahun, menjadikannya solusi alami untuk mitigasi perubahan iklim. Penanaman bambu di Paseban mendukung aspek ekologis dan menyediakan bahan baku untuk seni tradisional seperti angklung dan gamelan. Kampung Paseban berhasil melestarikan arsitektur tradisional Sunda yang hampir punah dengan membangun ulang rumah-rumah seperti Badak Helai, Jalopong, Siritewel, Panglong Jajar, dan Tagok Anjing. Setiap arsitektur memiliki filosofi unik yang merefleksikan kearifan lokal Sunda dan menggunakan bambu sebagai bahan ramah lingkungan, menjaga keseimbangan antara budaya dan alam. Kampung Paseban juga menyelenggarakan berbagai kegiatan budaya, seperti festival pencak silat, pertunjukan gamelan, dan seni harpa Harp on the Mountain. Fadli Zon mengusulkan kegiatan baru seperti Paseban Writers Festival dan Jazz Festival untuk menarik minat generasi muda.    Tidak hanya itu, kawasan ini juga menjadi rumah bagi Bale Adat yang menyimpan gamelan pusaka dari Giri Harja II, menambah kekayaan budaya yang dapat dinikmati pengunjung. Menteri peraih MURI atas perpustakaan pribadi dengan koleksi keris terbanyak ini menjelaskan Paseban adalah nama yang telah ada secara turun-temurun di kawasan ini dan bukan nama baru. Ki Jatnika menganggap kawasan ini dulunya mungkin merupakan petilasan. Fadli Zon menekankan pentingnya budaya hijau, mengintegrasikan keberlanjutan dalam kebudayaan. Seni tradisional seperti angklung dan gamelan bergantung pada bambu, sehingga pelestarian lingkungan menjadi bagian integral dari pelestarian budaya. ""Ke depan, kita harus membangun mental dan mindset budaya yang ramah lingkungan dan berkelanjutan. Kampung Paseban telah memulai langkah ini dengan berbagai inisiatif hijau,"" jelas Wakil Ketua Umum Partai Gerindra ini.",0
"5 provinsi ri masuk kategori perilaku ramah lingkungan, ada dki-kaltim",https://news.detik.com/berita/d-7662873/5-provinsi-ri-masuk-kategori-perilaku-ramah-lingkungan-ada-dki-kaltim,29/11/2024,"Sebanyak lima provinsi di Indonesia masuk dalam kategori perilaku individu yang ramah lingkungan. Lima provinsi itu adalah Daerah Istimewa Yogyakarta (DIY), DKI Jakarta, Maluku, Nanggroe Aceh Darussalam (NAD) dan Kalimantan Timur. Hal itu diungkapkan oleh Direktur Program Penelitian LP3ES, Erwan Halil, dalam Diseminasi Indeks Perilaku Ramah Lingkungan Hidup (IPRLH) di Senayan, Jakarta Pusat, Jumat (29/11/2024). Erwan mengatakan, kelima provinsi itu meraih indeks di atas rata-rata nasional, adapun rata-rata nasional mendapatkan skor 0,52. ""Ada lima provinsi di Indonesia yang kategorinya itu masuk dalam kategori perilaku ramah lingkungan. Ada Aceh, Yogyakarta, DKI Jakarta, Kalimantan Timur dan Maluku, itu dia di atas rata-rata nasional 0,52, itu juga kategorinya cukup ramah,"" kata Erwan. 
ADVERTISEMENT
 
SCROLL TO CONTINUE WITH CONTENT
 Erwan menjelaskan, meski kelima provinsi itu masuk ke dalam kategori perilaku individu ramah lingkungan, tetapi jika disandingkan dengan data daya dukung lingkungan, maka ditemukan perbedaan yang bertolak belakang. Dia mengatakan, daerah dengan daya dukung lingkungan hidup fisik yang mengalami banyak kerusakan, memiliki perilaku individu yang cenderung ramah lingkungan. Sebaliknya, provinsi dengan daya dukung lingkungan hidup fisik yang cukup terjaga, perilaku individu justru cenderung tidak ramah lingkungan. ""Tetapi ketika disandingkan dengan status lingkungan hidupnya, di Jakarta di Yogyakarta, itu informan kita menyebutkan, kondisi fisiknya itu sudah ""parah"", tapi perilaku individunya ramah lingkungan, nah ini kan kaya semacam anomali,"" katanya. ""Kita juga melihat, ada beberapa provinsi yang perilakunya rentan tidak ramah lingkungan, tapi kondisi lingkungannya itu baik. Seperti di Papua, yang perilakunya, karena faktor pendidikan dan sebagainya, sehingga nilai indeksnya itu rentan untuk tidak ramah lingkungan,"" jelasnya. Erwan mengatakan, temuan tersebut perlu ditindaklanjuti, sehingga perilaku individu yang tinggal di daerah-daerah dengan lingkungan fisik yang masih terjaga-juga menerapkan praktik perilaku ramah lingkungan hidup. ""Kita ini memiliki modalitas lingkungan hidup yang cukup baik, misal ketersediaan air sepanjang waktu, tapi perilaku kita tidak cukup ramah, misalnya tidak mematikan keran,"" katanya. ""Ini artinya apa? Mentang-mentang banyak lantas boros gitu, nah ini kan praktek-praktek seperti ini yang harus kita jaga, agar jangan terjadi gitu. Artinya di daerah-daerah yang kualitas lingkungan fisik masih bagus, perilakunya harus kita dorong bagus,"" ucapnya. Untuk diketahui, penelitian Indeks Perilaku Ramah Lingkungan Hidup (IPRLH) dilakukan oleh LP3ES dan bekerja sama dengan Direktorat Pencegahan Dampak Lingkungan Kebijakan Wilayah dan Sektor KLHK. Penelitian dilakukan dengan pengumpulan data dari 15.200 responden yang tersebar di 38 provinsi di Indonesia. Sementara itu, Kasubdit Daya Dukung Daya Tampung Lingkungan Hidup, Direktorat Pencegahan Dampak Lingkungan Kebijakan Wilayah dan Sektor KLHK, Laila Nur Anisa, mengatakan indeks tersebut memotret secara menyeluruh perilaku individu terhadap lingkungan hidup di Indonesia. Dia mengatakan indeks itu bakal dijadikan dasar pengambilan kebijakan. ""Tujuannya adalah, kita bisa memotret perilaku individu masyarakat dan seluruh masyarakat Indonesia terhadap pemanfaatan lingkungan, ada air, lahan, kehati, laut dan udara,"" kata Laila. Laila mengatakan IPRLH memasukkan faktor perilaku manusia yang tidak terpisahkan dari lingkungan hidup. Dia berharap indeks itu dapat menjaga keberlanjutan kehidupan manusia dan daya dukung lingkungan terus terjaga. ""Lingkungan hidup bukan hanya benda, daya, keadaan, tapi juga meliput manusia dan perilakunya. Yang tentu saja, itu akan mempengaruhi alam itu sendiri dan mempengaruhi kelangsungan kehidupan dan ujung-ujungnya untuk kesejahteraan manusia,"" ucapnya.",0
brigadir yusrin berencana bengkel gratis jangkau kapal nelayan selain mobil-motor,https://news.detik.com/berita/d-7662871/brigadir-yusrin-berencana-bengkel-gratis-jangkau-kapal-nelayan-selain-mobil-motor,29/11/2024,"Setelah membantu masyarakat lewat layanan bengkel keliling gratis, Bhabinkamtibmas Brigadir Yusrin Zafaruddin berharap ke depannya dapat membantu nelayan memperbaiki mesin kapal yang bermasalah. Hal itu sesuai dengan situasi wilayah binaan Brigadir Yusrin yang berada di pesisir. ""Mungkin kalau ada rezeki, karena mengingat posisi juga wilayah tugas saya di pesisir, mungkin saya mau coba juga di laut, karena nelayan di situ,"" kata Brigadir Yusrin dalam program Hoegeng Corner di detikPagi, Jumat (29/11/2024). Brigadir Yusrin selama ini ditugaskan menjadi Bhabinkamtibmas di Desa Lawela dan Desa Lawela Selatan, Buton, Sulawesi Tenggara (Sultra). Keinginan untuk membantu nelayan dalam memperbaiki mesin kapal juga datang dari permintaan warga. 
ADVERTISEMENT
 
SCROLL TO CONTINUE WITH CONTENT
 ""Mungkin sudah termasuk ada request dari masyarakat, biasa kami sambang itu sama nelayan, petani, karena rata-rata di sini nelayan sama petani,"" kata Brigadir Yusrin. Dia pun bersyukur layanan bengkel keliling gratis yang dijalankannya selama ini disambut baik oleh warga. Tak hanya itu, Brigadir Yusrin juga mendapatkan dukungan dari rekan-rekannya di Polsek. ""Kalau respons masyarakat itu baik selama saya melaksanakan kegiatan bengkel keliling ini, dan untuk teman-teman juga di Polsek ikut mendukung. Jadi apabila ada warga yang membutuhkan bantuan kadang selalu Bhabinkamtibmas dihubungi,"" kata Brigadir Yusrin. Dedikasi Brigadir Yusrin membuka bengkel keliling gratis itu berawal dari hobinya yang kerap otak-atik kendaraan. Selain itu, dia juga sering menerima keluhan soal kendaraan warga yang mengalami masalah. ""Kasus yang sering ditemui ban bocor, masalah kelistrikan kendaraan yang tidak bisa distarter, kadang setiap saya sambang selalu mengeluh masalah kelistrikan,"" ujar Brigadir Yusrin. Setiap berdinas, Brigadir Yusrin memasang tas berisi peralatan montir di jok belakang motor dinasnya. Saban melihat kendaraan warga terparkir di pinggir jalan, Yusrin menghampiri untuk memastikan apakah kendaraan tersebut mengalami masalah atau tidak. Dia menamai perbaikan kendaraan gratisnya ini dengan program Beliling Presisi. ""Saya kan di Lawela sejak tahun 2017. Jadi awalnya saya buat inovasi seperti itu karena alamat rumah saya kan di Kota Baubau yang jaraknya sekitar 30 km dari tempat tugas di Desa Lawela ini. Jadi setiap perjalanan pulang ke rumah ada beberapa orang masyarakat yang kadang (kendaraannya) mogok,"" ujar Yusrin kepada detikcom dalam wawancara terpisah sebelumnya. Layanan Beliling Presisi ini dimulainya sejak 2023. Yusrin mengatakan kurang lebih 20 kendaraan baik motor maupun mobil yang mogok di jalan telah dibantunya. ""Awal mulanya tahun 2023, tahun lalu. (Untuk kendaraan) roda dua dan roda empat. Saya belajar (perbaikan mesin kendaraan) otodidak karena saya sering nongkrong sama teman teman yang punya bengkel, saya belajar,"" cerita Yusrin. Yusrin menyebut penyebab kendaraan warga bermasalah beragam, dari faktor kondisi kendaraan sendiri yang kurang perawatan hingga kondisi jalan yang berlubang, naik dan turun. ""Medannya jelek juga, naik turun. Karena banyak jalan berlubang juga. Kadang juga pengendara tidak memperhatikan kendaraannya, kurang perawatan,"" jelas Yusrin.",0
"8 mobil tertimpa longsor di sibolangit, bus wisata masuk jurang",https://news.detik.com/berita/d-7662864/8-mobil-tertimpa-longsor-di-sibolangit-bus-wisata-masuk-jurang,29/11/2024,"Sejumlah kendaraan tertimpa longsor yang terjadi di Desa Sembahe, Kecamatan Sibolangit, Kabupaten Deli Serdang. Sejauh ini, ada delapan mobil yang teridentifikasi tertimpa longsor. ""Yang teridentifikasi delapan unit,"" kata Kabid Humas Polda Sumut Kombes Hadi Wahyudi dilansir detikSumut, Jumat (29/11/2024).  
ADVERTISEMENT
 
SCROLL TO CONTINUE WITH CONTENT
  Hadi memerinci mobil-mobil tersebut beberapa di antaranya telah dievakuasi. Rinciannya, yakni dua mobil Hiace, satu mobil Pajero Sport, satu Suzuki Ertiga dan satu truk. Kendaraan-kendaraan ini tertimpa pohon yang terbawa longsor. ""Sementara yang masuk jurang itu ada satu bus pariwisata tempat ditemukan korban meninggal dunia, truk boks dan pikap kecil,"" jelasnya. Mantan Wadirlantas Polda Kalimantan Tengah itu mengatakan hingga pagi ini, jalan Medan-Berastagi mulai dari Sembahe hingga ke Kabupaten Karo, sudah dibersihkan. Namun, jalur ini belum bisa dibuka untuk pengendara umum karena masih ada sisa material longsor. Saat ini, kata Hadi, jalur tersebut masih dipergunakan untuk kendaraan petugas evakuasi. Hadi menyebut hari ini, petugas akan fokus pada pembersihan material longsor. Selain itu, sebagian petugas juga akan melakukan pencarian korban dan evakuasi kendaraan yang terjatuh ke jurang. Sebelumnya diberitakan, longsor terjadi di sejumlah titik di jalan Medan-Berastagi, Kecamatan Sibolangit, pada Selasa (26/11) malam. Dalam peristiwa itu, ada sembilan orang dari beberapa lokasi longsor, yang dilaporkan tewas. Baca berita selengkapnya di sini.",0
