title,link,date,content,is_fake
Jokowi Minta Ahmad Luthfi Serahkan Jabatan Gubernur Jateng kepada Kaesang,https://www.kompas.com/cekfakta/read/2024/11/28/184800882/hoaks-jokowi-minta-ahmad-luthfi-serahkan-jabatan-gubernur-jateng-kepada,2024-11-28,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Di media sosial beredar unggahan yang diklaim berisi rekaman suara Presiden ke-7 Republik Indonesia, Joko Widodo sedang berbincang dengan pasangan Calon Gubernur- Wakil Gubernur Jawa Tengah nomor urut 2 Ahmad Luthfi dan Taj Yasin Maimoen.Dalam rekaman itu, Jokowi terdengar meminta agar posisi gubernur Jawa Tengah diserahkan kepada Kaesang jika terpilih di Pilkada 2024. Sementara, Luthfi dijanjikan akan masuk ke Kabinet Presiden Prabowo. Namun, setelah ditelusuri konten tersebut merupakan hasil manipulasi.Video berisi rekaman Jokowi meminta Ahmad Luthfi menyerahkan jabatan gubernur Jawa Tengah kepada Kaesang muncul di media sosial, salah satunya dibagikan oleh akun Facebook ini dan TikTok ini, iniDalam video Jokowi mengatakan:""Ya seperti tadi yang disampaikan. Pak Luthfi, itu nanti jadi Jawa Tengah itu bisa nanti ya, dimasuk kabinet Pak Presiden Prabowo. Lalu nanti biar Mas Kaesang yang di Jawa Tengah, gitu,""Akun Facebook Rekaman suara Jokowi meminta agar posisi gubernur Jawa Tengah diganti oleh KaesangTim Cek Fakta Kompas.com menggunakan mesin deteksi untuk mencari tahu apakah konten itu merupakan hasil manipulasi artificial intelligence (AI). Hasilnya, mesin deteksi Truemedia.org menyatakan bahwa kemungkinan suara itu dihasilkan AI generator mencapai 93 persen.Pengujian ini dilakukan dengan memotong salah satu bagian dari suara Jokowi dalam konten itu.True Media Hasil pemeriksaan True Media terhadap suara Jokowi meminta agar jabatan Gubernur Jateng diserahkan ke Kaesang PangarepSebagai perbandingan, Tempo.co yang menggunakan Trumedia.org, menyatakan bahwa suara Jokowi dalam konten itu mencapai  99-100 persen melibatkan teknologi kecerdasan buatan AI.Adapun foto dalam video identik dengan yang ada di akun Instagram Ahmad Luthfi pada 29 Oktober 2024.Dalam keterangannya, Luthfi menuliskan, foto itu adalah momen ketika ia dan Taj Yasin mendapat masukan dari Jokowi untuk melakukan percepatan ekonomi.Saat dikonfirmasi Kompas.com, ajudan Jokowi, Syarif Muhammad Fitriansyah mengatakan, suara dalam rekaman tersebut adalah hoaks. Menurut dia, suara dalam konten itu bukan berasal dari Jokowi. ""Bukan, itu bukan suara Bapak. Enggak benar itu,"" ucap Syarif, Kamis (28/11/2024).Menurut Syarif, ia belum tahu apakah Jokowi sudah mengetahui soal rekaman suara tersebut. ",1
Tautan Pendaftaran CPNS Basarnas pada November 2024,https://www.kompas.com/cekfakta/read/2024/11/28/132600082/-hoaks-tautan-pendaftaran-cpns-basarnas-pada-november-2024,2024-11-28,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Beredar di media sosial yang diklaim sebagai tautan pendaftaran calon pegawai negeri sipil (CPNS) Badan Nasional Pencarian dan Pertolongan (Basarnas).Unggahan itu beredar pada awal November 2024, terutama di Facebook.Namun, setelah ditelusuri unggahan tersebut tidak benar atau hoaks.Lowongan kerja CPNS di Basarnas pada awal November 2024 muncul di media sosial, salah satunya dibagikan oleh akun Facebook ini.Akun tersebut'membagikan poster lowongan kerja CPNS Basarnas dan tautan untuk mendaftarnya. Selain itu terdapat daftar persyaratan yang harus dipenuhi oleh pelamar.Akun Facebook Tangkapan layar Facebook lowongan kerja CPNS Basarnas pada bulan NovemberSetelah ditelusuri tautan dalam unggahan tidak mengarah ke situs sscasn.bkn.go.id yang merupakan laman resmi pendaftaran CPNS 2024.Ketika dicek di laman resmi Basarnas juga tidak ditemukan lowongan kerja CPNS pada bulan November 2024.Basarnas hanya mengumumkan hasil seleksi kompetensi dasar (SKD) CPNS 2024 yang sudah dilaksanakan.  Adapun pendaftaran CPNS 2024 di sejumlah instansi pemerintahan sudah ditutup sejak 10 September, kecuali Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi serta Kementerian Agama yang ditutup pada 13 sampai 14 September 2024.Sementara setelah dicek menggunakan teknik reverse image search, diketahui bahwa poster dalam unggahan merupakan hasil manipulasi.Poster aslinya berisi pengumuman soal seleksi CPNS Basarnas pada 2019, unggahan tersebut bisa dilihat di sini.Pendaftaran lowongan kerja CPNS Basarnas pada awal November 2024 tidak benar atau hoaks.Tautan pendaftaran tersebut bukan laman resmi untuk mendaftar CPNS 2024. Pendaftaran CPNS 2024 hanya melalui sscasn.bkn.go.id dan telah ditutup sejak bulan Septmber 2024. Basarnas juga sudah mengumumkan peserta yang lolos SKD CPNS 2024 di instansi mereka dan akan mengikuti Seleksi Kompetisi Bidang (SKB).",1
Arab Saudi Akan Proklamasi sebagai Negara Atheis pada 2025,https://www.kompas.com/cekfakta/read/2024/11/28/105000082/-hoaks-arab-saudi-akan-proklamasi-sebagai-negara-atheis-pada-2025,2024-11-28,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Tersiar narasi di media sosial yang mengeklaim Arab Saudi akan menjadi negara atheis pada 2025.Setelah ditelusuri Tim Cek Fakta Kompas.com, narasi tersebut tidak benar atau merupakan hoaks.Informasi mengenai Arab Saudi akan menjadi negara atheis pada 2025 disebarkan oleh akun Facebook ini, ini, ini, ini, ini, dan ini.Berikut narasi yang ditulis salah satu akun pada 18 November 2024:Resmi 2025 Arab Saudi Akan Memproklamirkan Sebagai Negara Atheisakun Facebook Tangkapan layar konten hoaks di sebuah akun Facebook, 18 November 2024, mengenai Arab Saudi akan menjadi negara atheis pada 2025.Berdasarkan Undang-Undang Dasar (UUD) Arab Saudi 1992, agama resmi negara tersebut adalah Islam dan konstitusinya adalah Al-Quran dan sunnah atau tradisi dan praktik yang didasarkan pada kehidupan Nabi Muhammad.Dilansir situs web Kedutaan Amerika Serikat di Arab Saudi, kebebasan beragama tidak diatur dalam undang-undang tersebut.Sebaliknya, UUD Arab Saudi 1992 justru melarang penyebaran ideologi atheis dalam bentuk apa pun.Sejauh ini belum ada amandemen atau perubahan atas undang-undang tersebut.Badan Keamanan Arab Saudi, pada 2019, mengkategorikan feminisme, homoseksualitas, dan ateisme sebagai gagasan ekstremis.Direktur Amnesty International untuk Timur Tengah dan Afrika Utara, Heba Morayef mengatakan, pernyataan tersebut berbahaya dan mempunyai implikasi serius terhadap hak atas kebebasan berekspresi dan hidup.""Hal ini menghilangkan lapisan kemajuan di bawah kepemimpinan Mohammed Bin Salman dan mengungkap wajah intoleransi sebenarnya yang mengkriminalisasi identitas masyarakat, pemikiran dan gagasan progresif reformis di dalam negeri,"" kata Morayef.Ateisme masih menjadi praktik ilegal di Arab Saudi.Misalnya, warga Arab Saudi bernama Ahmad Al Shamri yang ditangkap atas tuduhan ateisme dan penistaan agama.Dikutip dari The Independent, ia ditahan di penjara sebelum dinyatakan bersalah oleh pengadilan setempat dan dijatuhi hukuman mati pada Februari 2015.Narasi mengenai Arab Saudi akan menjadi negara atheis pada 2025 adalah hoaks.Undang-Undang Dasar Arab Saudi 1992, menyatakan bahwa agama resmi negara tersebut adalah Islam dan konstitusinya adalah Al-Quran dan sunnah.Belum ada perubahan atas dasar hukum tersebut.",1
Video Sembako dari Tim Andika-Hendi untuk Serangan Fajar,https://www.kompas.com/cekfakta/read/2024/11/27/160600482/-hoaks-video-sembako-dari-tim-andika-hendi-untuk-serangan-fajar,2024-11-27,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Video dengan narasi kubu Calon Gubernur - Calon Wakil Gubernur  Jawa Tengah nomor urut 1 Andika Perkasa dan Hendrar Prihadi (Hendi) memborong sembako untuk serangan fajar di hari pemungutan suara beredar di media sosial.Namun, setelah ditelusuri narasi tersebut keliru. Informasinya perlu diluruskan karena keliru.Video dengan narasi kubu Andika dan Hendi memborong sembako untuk serangan fajar di hari pemungutan suara muncul di media sosial, salah satunya dibagikan oleh akun Facebook ini.Akun tersebut membagikan video berisi foto sembako dengan stiker Andika-Hendi dan diberi keterangan demikian:""Wah ngeri banget ini PDI Perjuangan, Setelah ditelusuri lebih dalam ternyata mereka sendirilah pelakunya. Telah diborong sendiri oleh PDI Perjuangan."" ""Sembako itu akan digunakan sebagai serangan fajar, udah gak habis pikir lagi, ngelihat kelakuan PDIP semakin ke sini, udahlah PDIP emang senyaman itu ya berkuasa?"" Akun Facebook Tangkapan layar Facebook sembako Andika-Hendi yang diklaim digunakan untuk serangan fajarSetelah ditelusuri konten tersebut mirip dengan video akun TikTok @sobatkaisar.Dalam video tersebut, terlihat sejumlah paket sembako  yang sama dengan konten yang beredar di media sosial. Video itu adalah kegiatan tebus murah di Cilacap yang diadakan oleh relawan anggota DPR RI Fraksi PDI-P, Kaisar Kiasa Kasih Said Putra pada Sabtu (23/11/2024).Disebutkan, kegiatan itu dilakukan sebagai wujud dukungan Kaisar kepada Andika-Hendi di Pilkada Jawa Tengah 2024. Video itu tidak memperlihatkan serangan fajar sebagaimana narasi dalam unggahan.Adapun program tebus murah sembako dilakukan oleh relawan Andika-Hendi di beberapa wilayah di Jawa Tengah.Diberikatakan Antara, pada awal November 2024 Perempuan Jawa Tengah Pilih Andika-Hendi (Pandhita)  juga mengadakan kegiatan tebus murah sembako di Kabupaten Temanggung dan Kabupaten Semarang. Video dengan narasi kubu Andika dan Hendi memborong sembako untuk serangan fajar merupakan informasi keliru.Faktanya, video itu adalah kegiatan tebus murah sembako yang diadakan di Cilacap sebagai dukungan kepada Andika-Hendi di Pilkada Jawa Tengah. ",1
Exit Poll Pilkada Jakarta 2024 dari Tracking Politik Indonesia,https://www.kompas.com/cekfakta/read/2024/11/27/141230182/hoaks-exit-poll-pilkada-jakarta-2024-dari-tracking-politik-indonesia,2024-11-27,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Beredar hasil exit poll Pilkada Jakarta 2024 dari lembaga Tracking Politik Indonesia. Sejumlah konten itu diunggah di media sosial.Setelah ditelusuri Tim Cek Fakta Kompas.com, narasi itu tidak benar atau merupakan hoaks.Hasil exit poll Pilkada Jakarta 2024 disebarkan oleh akun Facebook ini, ini, ini, ini, ini, dan ini.Berikut narasi yang ditulis salah satu akun pada Rabu (27/11/2024):Breaking news!!!Ayo semua warga Jakarta, ncang, cing, nyak babe,,, exit poll jam 10.00Mas Pram-Bang Doel sudah unggul.Mari kita segera ke TPS coblos 03, kita ikut barisan yang menang.Menang, menang, menang..Allahu Akbar, Merdeka!!!Pengguna Facebook menyebarkan poster yang menunjukkan hasil survei berdasarkan update pukul 10.00 WIB.Pasangan calon (paslon) gubernur dan wakil gubernur Ridwan Kamil-Suswono diklaim mendapat suara 42,2 persen.Kemudian paslon Pramono Anung-Rano Karno sebanyak 52,9 persen.Sementara Dharma Pongrekun-Kun Wardana, berjarak cukup jauh dengan perolehan suara 3,8 persen.Hasil exit poll serupa juga diunggah oleh akun TikTok ini pada Rabu (27/11/2024). Arsipnya dapat dilihat di sini.akun Facebook Tangkapan layar konten hoaks di sebuah akun Facebook, Rabu (27/11/2024), mengenai hasil exit poll Pilkada Jakarta 2024 dari lembaga Tracking Politik Indonesia.Lembaga survei Tracking Politik Indonesia tidak tercatat sebagai anggota Perkumpulan Survei Opini Publik Indonesia (Persepi).Dilansir Kompas.com, ada 62 lembaga survei yang tercatat dalam Surat Keputusan Ketua Umum Persepi Nomor 1/SK/X/2023 yang diteken pada 20 Oktober 2023.Surat tersebut dapat digunakan anggota sebagai persyaratan mendaftar ke Komisi Pemilihan Umum (KPU) dan Komisi Pemilihan Umum Daerah (KPUD).Sementara, Tracking Politik Indonesia tidak ada dalam daftar lembaga tersebut.",1
Exit Poll Pilkada Kebumen 2024,https://www.kompas.com/cekfakta/read/2024/11/27/131021582/hoaks-exit-poll-pilkada-kebumen-2024,2024-11-27,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Di media sosial TikTok beredar hasil exit poll Pilkada Kebumen 2024 yang memperlihatkan keunggulan salah satu calon.Exit poll itu diklaim telah dilakukan di 1420 tempat pemungutan suara (TPS) dan telah mewawancarai 1.500 responden.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, narasi tersebut tidak benar atau merupakan hoaks.Hasil exit poll Pilkada Kebumen 2024 disebarkan oleh akun TikTok ini pada Rabu (27/11/2024). Arsipnya dapat dilihat di sini.Berikut narasi yang ditulis pengguna TikTok:Exit Poll : Survei Pasca 1200 Responden MSRS Di Pemilihan Calon Bupati & Wakil Bupati Kabupaten KebumenHasil survei tersebut menampilkan pasangan calon bupati dan wakil bupati nomor urut 1 Lilis Nuryani-Zaeni Miftah mendapat perolehan suara 62,3 persen.Sedangkan, paslon nomor urut 2 Arif Sugiyanto-Ristawati Purwaningsih mendapat 37,7 persen.akun TikTok Tangkapan layar konten hoaks di sebuah akun TikTok, Rabu (27/11/2024), menampilkan hasil exit poll Pilkada Kebumen 2024.Exit poll merupakan metode survei pemilu dengan mewawancarai langsung para pemilih di TPS.Direktur Eksekutif Perludem, Khoirunnisa Nur Agustyati menjelaskan, exit poll adalah metode yang biasanya dilakukan oleh lembaga hitung cepat untuk mengetahui preferensi pilihan pemilih.""Jadi di sampel dua TPS yang sudah mereka pilih akan ada petugas yang menanyakan kepada pemilih secara acak siapa pilihannya di pilkada,"" ungkap perempuan yang akrab disapa Ninis, kepada Kompas.com, Rabu (27/11/2024).Kendati demikian, sejauh ini belum ada lembaga yang melakukan exit poll di wilayah Kebumen pada Pilkada 2024.Hasil exit poll Pilkada Kebumen 2024 yang beredar di TikTok merupakan hoaks. Belum ada lembaga survei yang melakukan exit poll pada Pilkada Kebumen 2024.Aturan KPU menjelaskan bahwa pengumuman hasil hitung cepat, baik itu exit poll atau quick count baru bisa dipublikasi pukul 15.00 WIB setelah pencoblosan selesai.",1
Foto Amplop Diklaim Bukti Politik Uang di Sulawesi Tenggara,https://www.kompas.com/cekfakta/read/2024/11/27/125400982/hoaks-foto-amplop-diklaim-bukti-politik-uang-di-sulawesi-tenggara,2024-11-27,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Beredar foto amplop berisi uang pecahan Rp 50.000 yang disebut sebagai bukti politik uang di Sulawesi Tenggara (Sultra).Berdasarkan penelusuran Tim Cek Fakta Kompas.com, narasi foto hoaks.Foto amplop berisi uang pecahan Rp 50.000 yang diduga sebagai bukti politik uang di Sultra dibagikan oleh akun X (Twitter) ini pada Minggu (24/11/2024).Akun itu mempertanyakan kebenaran informasi yang dia dapat di media sosial.Berikut narasi yang dibagikan:Ini photo dan video yang saya terima dari teman-teman di Sulawesi Tenggara dan Sulawesi Selatan.Yang Amplop pertama disebut “Sedekah Shubuh” (Sultra). Yang Video bahkan disebarkan di TikTok sebagai guyonan, karena mereka tau tidak akan diapa-apakanDemokrasi makin Rusak @KPU_ID @bawaslu_RI @jokowi @prabowo @DPR_RI Mohon Jangan Melakukan PembiaranTangkap layar X/Twitter Hoaks, foto amplop berisi uang Rp 50.000 diklaim bukti politik uang di Sulawesi TenggaraAda dua konten yang dibagikan dalam twit tersebut, foto dan video. Sejauh ini konten yang sudah bisa diperiksa adalah foto.Tim Cek Fakta Kompas.com menelusuri foto amplop berisi uang pecahan Rp 50.000 tersebut dengan Google Lens.Hasilnya, foto yang sama telah dibagikan oleh sejumlah akun Facebook sejak pertengahan November 2024.Misalnya, akun Facebook ini membagikan foto tersebut pada 14 November 2024. Sementara, akun Facebook ini membagikan foto yang sama pada 15 November 2024.Namun, akun-akun tersebut tidak menyebut tentang politik uang di Sultra. Foto tersebut dibagikan dengan narasi ""sedekah Jumat"".""Spesial malam Jum'at berkah...yg bilang ( Hadir ) sya kasi 500rb grati.s. Untuk 45 orang pertama,"" demikian narasi foto yang dibagikan pada 14 November 2024.Screenshot Foto amplop berisi uang pecahan Rp 50.000 yang dibagikan di Facebook pada 14 November 2024Berdasarkan penelusuran Tim Cek Fakta Kompas.com, foto amplop berisi uang pecahan Rp 50.000 yang disebut sebagai bukti politik uang di Sultra adalah hoaks.Foto tersebut telah dibagikan oleh sejumlah akun Facebook sejak pertengahan November 2024 dengan narasi ""sedekah Jumat"".",1
Dukungan Anies Bikin Suara Pramono-Rano Jatuh,https://www.kompas.com/cekfakta/read/2024/11/27/112200682/-hoaks-dukungan-anies-bikin-suara-pramono-rano-jatuh,2024-11-27,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Beredar narasi yang menyatakan dukungan Anies Baswedan kepada calon gubernur dan wakil gubernur Jakarta Pramono Anung-Rano Karno membuat elektabilitas turun.Elektabilitas paslon yang diusung Partai Demokrasi Indonesia Perjuangan (PDI-P) pada Pilkada Jakarta 2024 itu disebutkan hanya 28,4 persen.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, narasi tersebut keliru.Informasi yang menyebutkan dukungan Anies membuat elektabilitas Pramono-Rano atau Pram-Doel jatuh disebarkan oleh akun Facebook ini dan ini.Pengguna Facebook tersebut menyebarkan tautan YouTube dari video yang diunggah pada Selasa (26/11/2024).Berikut judul videonya:DIDUKUNG ANIES BASWEDAN SUARA PRAMONO RANO JUSTRU TERJUN BEBAS DAN PASANGAN RIDO Tembus 53%Sementara, salah satu akun Facebook mengunggah thumbnail video saja dengan menampilkan sosok Ketua Umum PDI-P Megawati Soekarnoputri, serta foto bersama Anies dengan pasangan Pram-Deol.Berikut teks pada thumbnail:ANIES BIKIN APESDIDUKUNG ANIES DAN AMIEN RAIS PRAMONO RANO CUMA 28,4akun Facebook Tangkapan layar konten hoaks di sebuah akun Facebook, Selasa (26/11/2024), yang menyebutkan dukungan Anies Baswedan membuat elektabilitas Pramono-Rano jatuh.Lembaga Survei Indonesia (LSI) telah merilis hasil survei tingkat elektabilitas tiga pasangan calon yang berkompetisi pada Pilkada Jakarta 2024 pada September.Survei tersebut menyebutkan, pasangan Pramono-Rano memiliki elektabilitas 28,4 persen. Sedangkan Ridwan Kamil-Suswono 51,8 persen.""(Angka) 28 persen ini kan baru (dikenalkan) sejak tanggal 28 Agustus, (capaian) itu sudah mencapai seperti itu,"" ujar Sekjen PDI-P Hasto Kristiyanto, pada 19 September 2024, dilansir Kompas.com.Ia optimis pasangan Pramono-Rano akan mendapatkan hasil maksimal hingga hari pemilihan.",1
Lesti Kejora Bagikan Rp 35 Juta Melalui Nomor WhatsApp,https://www.kompas.com/cekfakta/read/2024/11/27/104500282/-hoaks-lesti-kejora-bagikan-rp-35-juta-melalui-nomor-whatsapp,2024-11-27,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Sebuah video yang diunggah di media sosial menampilkan penyanyi Lesti Kejora yang diklaim membagikan uang Rp 35 juta melalui nomor WhtasApp.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, video tersebut merupakan hasil manipulasi.Video yang menampilkan Lesti Kejora membagikan Rp 35 juta muncul di media sosial, salah satunya dibagikan oleh akun Instagram ini. Dalam video, Lesti mengatakan, untuk mendapat hadiah Rp 35 juta caranya yakni dengan menyukai dan membagikan unggahan tersebut kepada sepuluh orang teman.Warganet kemudian diminta menghubungi nomor WhatsApp yang tertera dalam unggahan.Akun Instagram Tangkapan layar Facebook narasi yang menyebut Lesti Kejora membagikan Rp 35 juta lewat nomor WhatsAppKetika ditelusuri, tidak ditemukan unggahan soal pembagian uang Rp 35 juta di akun media sosial milik Lesti Kejora.Tim Cek Fakta Kompas.com kemudian menelusuri unggahan yang beredar menggunakan Google Lens.Hasilnya, video tersebut diketahui memanipulasi foto Lesti Kejora yang diunggah di Instagram-nya pada 7 April 2021.Dalam unggahan aslinya Lesti tidak menjanjikan pembagian uang. Ia hanya menuliskan keterangan teks: ""Udah senyum hari ini?"".Setelah dicek menggunakan Hive Moderation suara Lesti membagikan Rp 35 juta terdeteksi dihasilkan oleh artificial intelligence (AI). Probabilitasnya mencapai 99.8 persen.Hive Moderation Hasil pemeriksaan Hive Moderation terhadap suara Lesti Kejora membagikan Rp 35 jutaVideo yang menampilkan Lesti Kejora membagikan Rp 35 juta melalui nomor WhatsApp merupakan hasil manipulasi. Konten itu memanipulasi foto yang diunggah Lesti di Instagram-nya pada 2021. Ketika dicek menggunakan Hive Moderation, suara Lesti membagikan Rp 35 juta terdeteksi dihasilkan oleh AI. ",1
Kiper Ebrahim Lutfalla Mundur dari Timnas Bahrain,https://www.kompas.com/cekfakta/read/2024/11/26/153500082/-hoaks-kiper-ebrahim-lutfalla-mundur-dari-timnas-bahrain,2024-11-26,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Kiper Ebrahim Lutfalla diklaim mengajukan pengunduran diri dari tim nasional Bahrain karena FIFA memutuskan menggelar laga melawan Indonesia di Stadion Utama Gelora Bung Karno, Jakarta. Namun, setelah ditelusuri unggahan tersebut tidak benar dan informasinya keliru atau hoaks.Sebagai konteks, sebelumnya Asosiasi Sepak Bola Bahrain (BFA) meminta agar melawan tuan rumah Indonesia pada 25 Maret 2025 diadakan di tempat netral.Permintaan itu diajukan kepada Konfederasi Sepak Bola Asia (AFC) karena faktor keamanan dan keselamatan. Timnas Bahrain mengaku mendapat ancaman dari para suporter Indonesia di dunia maya usai laga pada 10 Oktober 2024.Di pertandingan itu Bahrain menahan Indonesia dengan skor 2-2 setelah wasit memberikan tambahan waktu melebihi durasi yang ditentukan.Narasi yang mengeklaim Ebrahim Lutfalla mengajukan pengunduran diri dari timnas Bahrain muncul di media sosial, salah satunya dibagikan oleh akun Facebook ini, ini, dan Threads ini.Akun tersebut membagikan gambar Ebrahim Lutfalla dan diberi keterangan:IBRAHIM LUTFALLA di kabarkan mengajukan keluar dari Timnas Bahrain setelah FIFA memutuskan pertandingan ke 2 tetap dilaksanakan di GBK JAKARTA INDONESIAkenapa ya ?Akun Threads Tangkapan layar Threads narasi yang menyebut Ebrahim Lutfalla mengajukan pengunduran diri dari timnas BahrainBerdasarkan penelusuran Kompas.com, tidak ditemukan informasi valid soal mundurnya Ebrahim Lutfalla dari timnas Bahrain.Unggahan yang beredar juga tidak menyebut sumber informasi tersebut. Di Instagram Asosiasi Sepak Bola Bahrain (BFA) dan Ebrahim Lutfalla, tidak ada informasi pengunduran diri kiper berusia 32 tahun itu. Melalui Instagram resminya, BFA hanya menjelaskan bahwa mereka mendapat ancaman dan serangan dari suporter Indonesia di dunia maya setelah laga pada 10 Oktober 2024.Menurut BFA, berbagai ancaman dan kata hinaan yang mereka terima di dunia maya dapat memengaruhi keselamatan pemain timnas Bahrain saat bertanding di Jakarta pada 25 Maret 2025. BFA pun mengajukan permintaan agar laga tandang melawan Indonesia di Jakarta dipindah ke tempat netral.",1
