source,title,content
detik,"Polisi Tembak Polisi di Rumah Pejabat Polri, Brigadir J dari Propam Tewas","Jakarta - Seorang polisi Brigadir J tewas ditembak oleh polisi lainnya, Bharada E. Brigadir J merupakan personel yang bertugas di Propam Polri. Karo Penmas Divisi Humas Polri Brigjen Ahmad Ramadhan mengatakan peristiwa itu terjadi di Kompleks Polri Duren Tiga, Jakarta Selatan (Jaksel), Jumat (8/7/2022), pukul 17.00 WIB. ""Saat itu, saudara Brigadir J berada atau memasuk rumah salah satu pejabat Polri di perumahan dinas Duren Tiga, kemudian ada anggota lain atas nama Bharada E menegur dan saat itu yang bersangkutan mengacungkan senjata kemudian melakukan penembakan dan Bharada E itu menghindar dan membalas tembakan terhadap Brigadir J. Akibat penembakan yang dilakukan Bharada E itu mengakibatkan Brigadir J meninggal dunia,"" kata Ramadhan, Senin (11/7). Dia mengatakan kasus ini ditangani Propam Polri dan Polres Metro Jakarta Selatan. Motif penembakan masih didalami. Ramadhan juga ditanya apakah Brigadir J yang tewas merupakan ajudan dari Kadiv Propam Polri Irjen Ferdy Sambo. Ramadhan menyebut J merupakan personel yang bertugas di Bareskrim lalu membantu tugas di Propam. ""Ajudan atau siapa, yang jelas tadinya personel dari Bareskrim kemudian membantu tugas di Propam. Belum tahu apakah ajudan atau apa, tapi dia tugas di Propam,"" ucapnya. Dia mengatakan penembakan itu terjadi di dalam rumah. Dia mengatakan Bharada E telah diamankan. ""Di dalam,"" ucapnya. Jenazah Brigadir J telah dibawa ke keluarga di Jambi. Dia mengatakan Bharada E juga telah diamankan. ""Saat ini kasus sedang didalami, ditelusuri lebih jauh oleh Propam Mabes dan Polres Jakarta Selatan. Jenazah sudah dibawa ke keluarga di Jambi dan Bharada E telah diamankan untuk diproses lebih lanjut,"" ucapnya.  "
cnnindonesia,"Kronologi Polisi Tembak Polisi hingga Tewas di Rumah Pejabat Polri","Jakarta, CNN Indonesia -- Mabes Polri mengungkap kronologi tewasnya Brigadir J usai ditembak seorang anggota polisi lain Bhayangkara Dua (Bharada) E, di rumah Kadiv Propam Polri Irjen Ferdy Sambo, Jumat (8/7) lalu. Kepala Biro Penerangan Masyarakat Divisi Humas Polri Brigjen Ahmad Ramadhan mengatakan awalnya Brigadir J masuk kamar istri Ferdy Sambo dan diduga melakukan pelecehan. Menurut Ramadhan, istri Ferdy sempat berteriak hingga Bharada E mendengar teriakan tersebut. Ramadhan menyebut setelah teriakan istri Ferdy, Brigadir J panik dan keluar dari kamar hingga bertemu dengan Bharada E. Kemudian, Bharada E menanyakan apa yang terjadi di dalam dan dibalas dengan tembakan oleh Brigadir J. ""Nah di luar kamar itu kan teriak, setelah dengar teriakan, itu Bharada E itu dari atas, masih di atas itu bertanya 'ada apa bang?' tapi langsung disambut dengan tembakan yang dilakukan oleh Brigadir J gitu,"" katanya. Brigadir J disebut mengeluarkan tembakan sebanyak tujuh kali dan dibalas oleh Bharada E sebanyak lima kali. Setelah kejadian itu, istri Ferdy menelepon suaminya yang sedang melakukan tes PCR di luar rumah. ""Kemudian datang, setelah tiba dirumah pak Kadiv Propam [setelah] menerima telepon dari ibu, Pak Kadiv Propam langsung menelpon Polres Jaksel,"" ujarnya. Jenazah Brigadir J sudah dibawa ke Jambi untuk dimakamkan pada Sabtu 9 Juli. Roslin merasa janggal terhadap tewasnya Brigadir J lantaran alami luka sayatan di tubuh korban. ""Jadi yang malam itu dari keterangan kepolisian Jakarta menyampaikan bahwasanya di kediaman Bapak Irjen Ferdy Sambo itu ada adu tembak, jadi kami enggak puas, kalau ada adu tembak otomatis enggak ada ini ada luka sayatan,"" ujar Roslin.  "
ajnn,"Polisi Tembak Polisi, Brigadir J Tewas di Rumah Pejabat Polri","JAKARTA - Polisi Brigadir J tewas akibat tembakan polisi lainnya, Bharada E, di rumah dinas pejabat Polri, Duren Tiga, Jakarta Selatan. Karopenmas Divisi Humas Brigjen Ahmad Ramadhan mengakui kejadian itu berlangsung Jumat lalu (8/7) pukul 17.00. ""Adanya penambakan dimana peristiwa itu benar telah terjadi pada hari Jumat 8 Juli 2022. Kurang lebih jam 17 atau jam 5 sore,"" ujar Ramadhan, seperti dilansir CNN Indonesia, Senin (11/7). Ia menjabarkan kronologi kejadian itu bermula ketika Bharada E menegur Brigadir J yang memasuki rumah salah seorang pejabat Polri. Setelah ditegur, Brigadir J kemudian mengacungkan senjata dan melakukan penembakan. ""Bharada E itu menghindar dan membalas tembakan terhadap Brigadir J. Akibat penembakan yang dilakukan Bharada E itu mengakibatkan Brigadir J meninggal dunia,"" katanya. Saat ini, kasus sedang ditangani oleh Propam Polri dan Polres Metro Jakarta Selatan. Motif dan modus yang dilakukan Bharada E pun masih didalami. ""Yang jelas tadinya personel dari Bareskrim kemudian membantu tugas di Propam. Belum tahu apakah ajudan atau apa, tapi dia tugas di Propam,"" tegasnya.  "
Suratpemred,"Dor! Polisi Tembak Polisi di Rumah Dinas Pejabat Polri, Tubuh Brigadir Joshua Tertembus 4 Peluru","JAKARTA, SP – Peristiwa penembakan sesama anggota polisi kembali terjadi. Kali ini seorang polisi Brigadir polisi berinsial J tewas ditembak oleh polisi lainnya, Bharada E.Penambakan antar sesama anggota kepolisian ini dibenarkan oleh Markas Besar (Mabes) Polri. Diketahui anggota yang tewas tertembak bertugas di Propam Polri. ""Peristiwa itu benar telah terjadi pada hari Jumat, 8 Juni 2022 kurang lebih jam 17 atau jam 5 sore,"" kata Kepala Biro Penerangan Masyarakat (Karopenmas) Divisi Humas Polri Brigjen Pol Ahmad Ramadhan, di Mabes Polri, Jakarta, Senin (11/7).Ramadhan menjelaskan, peristiwa terjadi di rumah dinas pejabat Polri di kawasan Duren Tiga, Jakarta Selatan. Penembakan terjadi antara Brigadir J yang bertugas di Propam Polri, dengan anggota berinisial Bharada E yang juga berada di rumah dinas tersebut.""Peristiwa singkat saat itu Brigadir J berada atau memasuki rumah salah satu pejabat Polri di Perumahan Dinas Duren Tiga, kemudian ada anggota lain atas nama Bharada E menegur,"" kata Ramadhan.Saat itu, kata Ramadhan, Brigadir J mengacungkan senjata api dan melakukan penembakan, sehingga Bharada E mencoba menghindari tembakan dan membalas tembakan terhadap Brigadir J.""Penembakan yang dilakukan oleh Bharada E itu mengakibatkan Brigadir J meninggal dunia,"" ujarnya pula.Saat ini kasus tersebut tengah didalami dan ditelusuri oleh Propam Mabes Polri dan Polres Jakarta Selatan.Sementara itu, jenazah Brigadir J sudah dipulangkan ke kampung halamannya di Jambi untuk dimakamkan oleh pihak keluarga.""Jenazah sudah dibawa ke keluarganya di Jambi, dan Bharada E telah diamankan untuk diproses lebih lanjut,"" ujar Ramadhan.Tidak disebutkan berapa tembakan yang melukai Brigadir J, Propam Polri sedang mendalami kasus tersebut termasuk mencari tahu motifnya. Namun Mabes Polri menegaskan akan menindak tegas apabila terdapat unsur pidana dalam peristiwa tersebut. ""Ini sedang didalami motif dari melakukan penembakan ini. Yang jelas proses pidana sudah berjalan, kalau terbukti ditindak tegas,"" kata Ramadhan.Sementara Kapolres Metro Jakarta Selatan, Kombes Budhi Herdi Susianto mengatakan pihaknya telah memeriksa tiga orang saksi terkait insiden penembakan tersebut.""Saat ini yang sudah menyelesaikan BAP sebanyak 3 orang yang saat itu ada di TKP,"" ujar Budhi.Kini kasus tersebut ditangani oleh Propam Polres Metro Jakarta Selatan. Polisi masih terus melakukan penyelidikan terkait penembakan ini.""Penyidik Polres Metro Jaksel sudah menanganinya karena kan TKP masuk wilkum (wilayah hukum) Jaksel,"" ucap Budhi.  "
Indozone,"Fakta-fakta Polisi Adu Tembak di Rumah Petinggi Polri hingga Brigadir J Tewas","Peristiwa adu tembak antara anggota kepolisian terjadi di rumah petinggi Polri. Insiden itu menyebabkan seorang anggota Polri Tewas. Mabes Polri membenarkan kejadian tersebut. Berikut fakta-fakta peristiwa penembakan antaranggota Polri yang menewaskan salah satu anggota yang bertugas di Propam Polri. Terjadi di Rumah Petinggi Polri ""Peristiwa itu benar telah terjadi pada hari Jumat, 8 Juni 2022 kurang lebih jam 17 atau jam 5 sore,"" kata Kepala Biro Penerangan Masyarakat (Karopenmas) Divisi Humas Polri Brigjen Pol Ahmad Ramadhan, Senin (11/7/2022). Ramadhan menjelaskan, peristiwa terjadi di rumah dinas pejabat Polri di kawasan Duren Tiga, Jakarta Selatan. Sementara Indonesia Police Watch (IPW) mengungkapkan kasus baku tembak antar polisi terjadi di rumah Kadiv Propam Polri Irjen Pol Ferdy Sambo. ""Di rumah Kadiv Propam Irjen Ferdy Sambo,"" ungkap Sugeng. Berawal dari Teguran Penembakan terjadi antara Brigadir J yang bertugas di Propam Polri, dengan anggota berinisial Bharada E yang juga berada di rumah dinas tersebut. ""Peristiwa singkat saat itu Brigadir J berada atau memasuki rumah salah satu pejabat Polri di Perumahan Dinas Duren Tiga, kemudian ada anggota lain atas nama Bharada E menegur,"" kata Ramadhan. Brigadir J Tewas Saat itu, kata Ramadhan, Brigadir J mengacungkan senjata api dan melakukan penembakan, sehingga Bharada E mencoba menghindari tembakan dan membalas tembakan terhadap Brigadir J. ""Penembakan yang dilakukan oleh Bharada E itu mengakibatkan Brigadir J meninggal dunia,"" ujarnya pula. Jenazah Dibawa ke Jambi  Saat ini kasus tersebut tengah didalami dan ditelusuri oleh Propam Mabes Polri dan Polres Jakarta Selatan. Sementara itu, jenazah Brigadir J sudah dipulangkan ke kampung halamannya di Jambi untuk dimakamkan oleh pihak keluarga. ""Jenazah sudah dibawa ke keluarganya di Jambi, dan Bharada E telah diamankan untuk diproses lebih lanjut,"" ujar Ramadhan.  "
TribuJabar,"Polri Ungkap Penyebab 2 Polisi Baku Tembak di Rumah Jenderal, Seorang Polisi Meninggal, Satu Ditahan","TRIBUNJABAR.ID, JAKARTA - Penyebab meninggalnya Brigadir J yang mengalami luka tembak akhirnya terungkap. Brigadir J meninggal setelah baku tembak dengan anggota Polri lainnya Barada E. Kasus baku tembak dua anggota Polri ini masih didalami oleh Divisi Profesi dan Pengamanan (Propam) Polri bersama Kepolisian Resor (Polres) Jakarta Selatan. Diketahui peristiwa ini terjadi di rumah salah satu pejabat Mabes Polri, Jakarta. “Saat ini kasus sedang didalami, ditelusuri lebih jauh oleh Propam Mabes dan Polres Jakarta Selatan,” kata Kepala Biro Penerangan Masyarakat (Karo Penmas) Divisi Humas Polri Brigjen Pol Ahmad Ramadhan di Mabes Polri, Jakarta, Senin (11/7/2022). Ramadhan mengungkapkan kronologi singkat peristiwa itu. Dia mengatakan, peristiwa itu terjadi ketika Brigadir J masuk ke rumah salah satu pejabat Mabes Polri yang berlokasi di Kawasan Duren Tiga, Jakarta Selatan. Kemudian, tambah Ramadhan, anggota polisi lain yang sedang berjaga di situ, yakni Bharada E menegur Brigadir J. Selanjutnya, Brigadir J mengacungkan senjata, serta melakukan penembakan. Atas tindakan Brigadir J, Bharada E pun menghindar dan membalas tembakan terhadap Brigadir J. “Brigadir J melakukan penembakan yang bersangkutan ketika dia menanyakan mengapa dia di situ,” ucapnya. Kejadian penembakan itu pun mengakibatkan Brigadir J meninggal dunia. Jenazah Brigadir J juga sudah dipulangkan ke pihak keluarga di Jambi. Menurut Ramadhan, Brigadir J merupakan anggota polisi yang sedang diperbantukan di Divisi Profesi dan Pengamanan (Propam) Polri. “Yang jelas tadinya personel dari Bareskrim tapi kemudian diperbantukan di Propam, belum tahu apakah ajudan atau apa, tapi dia diperbantukan di Propam,” ucapnya. Barada E kini diamankan oleh Propam dan menjalani pemeriksaan.  "
Detiknews,"Polri Jelaskan Alasan Kasus Penembakan Brigadir J Baru Diungkap","Jakarta - Polri mengungkapkan alasan mengapa kasus penembakan Brigadir J atau Nopryansah Yosua Butabarat (Brigadir Yosua) di rumah Kadiv Propam Mabes Polri baru dibuka sekarang. Polisi mengatakan hal itu disebabkan oleh pemeriksaan dan penelusuran yang harus dilakukan terlebih dahulu. ""Kita lakukan pemeriksaan dulu, penelusuran dulu,"" kata Karo Penmas Divhumas Polri Brigjen Ahmad Ramadhan kepada wartawan, Senin (11/7/2022). Diketahui, insiden tersebut terjadi pada Jumat sore lalu (8/7). Namun, kasus ini baru dibeberkan pada hari Senin ini. Ramadhan mengatakan pihaknya telah melakukan olah TKP setelah insiden tersebut terjadi. Lalu, Kadiv Propam Mabes Polri Irjen Ferdy Sambo melaporkan kejadian ini ke Polres Metro Jakarta Selatan. ""Menghubungi Kapolres Jaksel dan selanjutnya dilakukan olah TKP,"" ujarnya. Dalam kasus ini, Brigadir J adalah anggota Bareskrim yang ditugaskan sebagai sopir dinas istri Kadiv Propam. Sedangkan Bharada E adalah anggota Brimob yang bertugas sebagai pengawal Kadiv Propam. Ramadhan menjelaskan, peristiwa bermula saat Brigadir J dipergoki melakukan pelecehan terhadap istri Kadiv Propam. Istri Kadiv Propam lalu berteriak minta tolong hingga Bharada E yang berada di lantai atas rumah merespons. ""Teriakannya terdengar oleh Bharada E yang berada di lantai atas sehingga Bharada E turun memeriksa sumber teriakan,"" ujarnya. Teguran dari Bharada E dari depan kamar saat memergoki Brigadir J langsung memicu aksi saling tembak. Peristiwa baku tembak kemudian terjadi di depan kamar. Selain olah TKP, Polri memeriksa 3 saksi terkait kasus ini. ""Pertanyaan Bharada E direspons oleh Brigadir J dengan melepaskan tembakan pertama kali ke arah Bharada E,"" ucapnya.  "
Sindonews,"Brigadir Polisi Ditembak Bharada, Ini Penjelasan Mabes Polri","JAKARTA - Kepala Biro Penerangan Masyarakat (Karo Penmas) Divisi Humas Polri Brigjen Ahmad Ramadhan membenarkan adanya peristiwa baku tembak antara Brigadir Polisi berinisial J dengan Bharada E. Akibat penembakan itu Brigadir J meninggal dunia. ""Saya akan menyampaikan informasi terkait adanya penambakan, di mana peristiwa itu benar telah terjadi pada hari Jumat, 8 Juli 2022. Kurang lebih jam 17 atau jam 5 sore,"" kata Ramadhan di Gedung Divisi Humas Polri, Senin (11/7/2022). Saat ini, kata Ramadhan, pihaknya tengah mendalami kasus baku tembak yang menyebabkan tewasnyaBrigadir J. Lebih lanjut Ramadhan mengungkap Bharada E sudah diamankan usai kejadian tersebut. ""Diamankan, dan tentu sesuai dengan prosedur bila unsur dan buktinya cukup akan diproses lebih lanjut. Jadi diamankan ya, saya belum katakan dia ditahan atau tidak,"" katanya. Saat ditanyakan apakah benar Brigadir J merupakan ajudan Kadiv Propam Polri, Ramadhan mengatakan belum dapat memastikan hal tersebut. ""Ajudan atau siapa tapi yang jelas tadinya personel dari Bareskrim tapi kemudian diperbantukan di Propam, belum tahu apakah ajudan atau apa, tapi dia diperbantukan di Propam,"" katanya.  "
Jpnn,"Brigadir J Masuk Kamar dan Melecehkan Istri Irjen Ferdy Sambo, Ada Teriakan, Dorr!","jpnn.com, JAKARTA SELATAN - Karopenmas Divhumas Polri Brigjen Ahmad Ramadhan mengungkap detik-detik penembakan yang dilakukan Bharada E terhadap Brigadir J atau Nopryansah Yosua Hutabarat di kediaman Irjen Ferdy Sambo pada Jumat (8/7). Dia menyebut penembakan berawal dari tindakan tercela Brigadir J yang memasuki kamar pribadi Irjen Ferdy Sambo selaku Kadiv Propam Polri.Brigadir J kemudian melakukan pelecehan terhadap istri seorang jenderal polisi bintang dua tersebut. “Lalu, Brigadir J menodongkan pistol ke kepala istri kadiv propam,” kata Ramadhan. Atas insiden itu, istri Irjen Ferdy Sambo langsung berteriak untuk minta tolong.“Sontak ketika itu istri kadiv propam berteriak dan meminta tolong. Akibat teriakan tersebut, Brigadir J panik dan keluar dari kamar,” kata Ramadhan. Kemudian, Bharada E yang ada di rumah tersebut langsung mendatangi ke kamar dan bertemu dengan Brigadir J. “Ketika itu, istri Irjen Ferdy Sambo sedang istirahat (di kamar),” kata Ramadhan kepada wartawan, Senin (11/7). Saat itu, Bharada E menanyakan ke Brigadir J terkait apa yang sebenarnya terjadi. Bukannya menjawab, Brigadir J malah menembak Bharada E. “Akibat tembakan itu, terjadilah saling tembak dan menyebabkan Brigadir J meninggal dunia,” kata mantan Kapolres Palu tersebut. Perwira tinggi Polri ini menambahkan berdasar hasil olah TKP dan pemeriksaan saksi, polisi mendapatkan tujuh proyektil peluru yang dikeluarkan dari senjata Brigadir J. “Kemudian ada lima proyektil yang dikeluarkan dari Bharada E,” beber Ramadhan. Dia menegaskan kasus ini masih berproses dan para saksi terus diperiksa untuk menemukan fakta sebenarnya di balik aksi penembakan tersebut. m“Proses ini masih terus berjalan ya,” imbuh Ramadhan.  "
Cnnindonesia,"Brigadir J Merupakan Sopir Istri Kadiv Propam Irjen Ferdy Sambo","Sementara, penembak Brigadir J, Bharada E adalah aide de camp (ADC) atau asisten pribadi dari Kadiv Propam Irjen Ferdy Sambo. ""Dua-duanya merupakan staff atau bagian dari Divisi Propam Mabes Polri,"" ujarnya. Ramadhan mengungkap Brigadir J dan Bharada E merupakan anggota Brimob yang ditugaskan sebagai staf Divisi Propam Polri. ""Kalau Bharada itu anggota Brimob yang di-BKO ke sana, tugasnya melakukan pengamanan dan pengawal terhadap Kadiv Propam,"" ucapnya. Sebelum tertembak, Brigadir J disebut polisi sempat memasuki kamar istri Kadiv Propam Irjen Ferdy Sambo dan melakukan pelecehan. Ramadhan menyebut istri Ferdy sempat berteriak hingga Bharada E mendengar teriakan tersebut. ""Itu benar melakukan pelecehan dan menodongkan senjata dengan pistol ke istri Kepala Kadiv Propam [Ferdy Sambo], itu benar,"" ujar Ramadhan saat dikonfirmasi, Senin (11/7). Setelah mendengar teriakan istri Ferdy, Brigadir J panik dan keluar dari kamar hingga bertemu dengan Bharada E. Kemudian, dari atas tangga, Bharada E menanyakan apa yang terjadi di dalam dan dibalas dengan tembakan oleh Brigadir J. Brigadir J pun mengeluarkan tembakan sebanyak tujuh kali dan dibalas oleh Bharada E sebanyak lima kali. Tujuh tembakan J sama sekali tak mengenai tubuh Bharada E. Menurut Ramadhan hal ini disebabkan jarak tembakan Brigadir J sekitar 10 meter dari lantai bawah. Setelah kejadian itu, istri Ferdy menelepon suaminya yang sedang melakukan tes PCR di luar rumah.  "
